Data Source,World Development Indicators,field_3,forest_num
Country Name,Country Code,Percentage,
Puerto Rico,PRI,"55.95603157",55.95603
"Korea, Dem. People's Rep.",PRK,"50.07964455",50.07964
Portugal,PRT,"36.15499489",36.15499
Paraguay,PRY,"40.52922225",40.52922
West Bank and Gaza,PSE,"1.684385382",1.68439
Pacific island small states,PSS,"68.48511302",68.48511
Post-demographic dividend,PST,"32.11086801",32.11087
French Polynesia,PYF,"43.05963699",43.05964
Qatar,QAT,"0",0.00000
Romania,ROU,"30.11582928",30.11583
Russian Federation,RUS,"49.78433608",49.78434
Rwanda,RWA,"11.18767734",11.18768
South Asia,SAS,"18.82105482",18.82105
Saudi Arabia,SAU,"0.454484135",0.45448
Sudan,SDN,"9.828452891",9.82845
Senegal,SEN,"41.90598868",41.90599
Singapore,SGP,"21.68523677",21.68524
Solomon Islands,SLB,"90.13826367",90.13826
Sierra Leone,SLE,"35.11886949",35.11887
El Salvador,SLV,"28.17953668",28.17954
San Marino,SMR,"16.66666667",16.66667
Somalia,SOM,"9.532311028",9.53231
Serbia,SRB,"31.13023096",31.13023
Sub-Saharan Africa (excluding high income),SSA,"26.25167107",26.25167
South Sudan,SSD,"11.32562151",11.32562
Sub-Saharan Africa,SSF,"26.25257619",26.25258
Small states,SST,"39.63577446",39.63577
Sao Tome and Principe,STP,"54.0625",54.06250
Suriname,SUR,"97.41211538",97.41212
Slovak Republic,SVK,"40.05615641",40.05616
Slovenia,SVN,"61.47225919",61.47226
Sweden,SWE,"68.69907031",68.69907
Eswatini,SWZ,"28.92790698",28.92791
Sint Maarten (Dutch part),SXM,"10.88235294",10.88235
Seychelles,SYC,"73.26086957",73.26087
Syrian Arab Republic,SYR,"2.843108425",2.84311
Turks and Caicos Islands,TCA,"11.07368421",11.07368
Chad,TCD,"3.425190597",3.42519
East Asia & Pacific (IDA & IBRD countries),TEA,"30.27678986",30.27679
Europe & Central Asia (IDA & IBRD countries),TEC,"39.29936475",39.29936
Togo,TGO,"22.23331495",22.23331
Thailand,THA,"38.89878447",38.89878
Tajikistan,TJK,"3.053534116",3.05353
Turkmenistan,TKM,"8.782159045",8.78216
Latin America & the Caribbean (IDA & IBRD countries),TLA,"46.58804602",46.58805
Timor-Leste,TLS,"61.94351042",61.94351
Middle East & North Africa (IDA & IBRD countries),TMN,"2.497534136",2.49753
Tonga,TON,"12.43055556",12.43056
South Asia (IDA & IBRD),TSA,"18.82105482",18.82105
Sub-Saharan Africa (IDA & IBRD countries),TSS,"26.25257619",26.25258
Trinidad and Tobago,TTO,"44.48148148",44.48148
Tunisia,TUN,"4.523236354",4.52324
Turkiye,TUR,"28.8714837",28.87148
Tuvalu,TUV,"33.33333333",33.33333
Tanzania,TZA,"51.64258298",51.64258
Uganda,UGA,"11.65918612",11.65919
Ukraine,UKR,"16.72419745",16.72420
Upper middle income,UMC,"37.44179077",37.44179
Uruguay,URY,"11.60438807",11.60439
United States,USA,"33.86692641",33.86693
Uzbekistan,UZB,"8.373221378",8.37322
St. Vincent and the Grenadines,VCT,"73.17948718",73.17949
"Venezuela, RB",VEN,"52.41301514",52.41302
British Virgin Islands,VGB,"24.13333333",24.13333
Virgin Islands (U.S.),VIR,"56.88571429",56.88571
Vietnam,VNM,"46.71900175",46.71900
Vanuatu,VUT,"36.28383921",36.28384
World,WLD,,
Samoa,WSM,"58.15467626",58.15468
Kosovo,XKX,,
"Yemen, Rep.",YEM,"1.039831809",1.03983
South Africa,ZAF,"14.05509072",14.05509
Zambia,ZMB,"60.28333714",60.28334
Zimbabwe,ZWE,"45.09391237",45.09391
